Model,Metric,Score
Gemini,statistics_correctness,0.7540937973709874
Gemini,hypothesis_correctness,0.5156670414848394
Gemini,outlier_correctness,0.6633442180105764
Palm,statistics_correctness,0.3815214688057842
Palm,hypothesis_correctness,0.3121848580982019
Palm,outlier_correctness,0.7149887874832805
Mistral,statistics_correctness,0.5931081325109979
Mistral,hypothesis_correctness,0.3447055910456583
Mistral,outlier_correctness,0.33250230122826985
Gemma,statistics_correctness,0.495725556334493
Gemma,hypothesis_correctness,0.43224156520646584
Gemma,outlier_correctness,0.3344975248307288
Llama,statistics_correctness,0.7308763024965974
Llama,hypothesis_correctness,0.3493006734500368
Llama,outlier_correctness,0.3064777868998291
Phi,statistics_correctness,0.28740926416003243
Phi,hypothesis_correctness,0.3259558206298067
Phi,outlier_correctness,0.2098248236256967
