Model,Metric,Score
Gemini-zero-shot,Accuracy,0.805
Gemini-zero-shot,Precision,0.8791208791208791
Gemini-zero-shot,Recall,0.903954802259887
Gemini-zero-shot,F1,0.8913649025069638
Palm-zero-shot,Accuracy,0.755
Palm-zero-shot,Precision,0.8809523809523809
Palm-zero-shot,Recall,0.8361581920903954
Palm-zero-shot,F1,0.8579710144927536
LLama-zero-shot,Accuracy,0.645
LLama-zero-shot,Precision,0.8581081081081081
LLama-zero-shot,Recall,0.7175141242937854
LLama-zero-shot,F1,0.7815384615384615
Mistral-zero-shot,Accuracy,0.785
Mistral-zero-shot,Precision,0.8764044943820225
Mistral-zero-shot,Recall,0.8813559322033898
Mistral-zero-shot,F1,0.8788732394366198
Gemma-zero-shot,Accuracy,0.795
Gemma-zero-shot,Precision,0.8908045977011494
Gemma-zero-shot,Recall,0.8757062146892656
Gemma-zero-shot,F1,0.8831908831908832
Phi-zero-shot,Accuracy,0.745
Phi-zero-shot,Precision,0.875
Phi-zero-shot,Recall,0.8305084745762712
Phi-zero-shot,F1,0.8521739130434782
